ItemCode	-	ItemName	-	TOTAL
SA-200-0180	-	BARRA INTERIOR STFCR2 S06M 3/8" C/TCMT21.51	-	667.06264
SA-200-0190	-	BARRA INTERIOR STFCR2 S08Q 1/2" C/TCMT21.51	-	613.80298
SA-200-0200	-	BARRA INTERIOR STFCR2 S10R 5/8" C/TCMT21.51	-	707.61624
SA-200-0210	-	BARRA INTERIOR MCLNR4 S12S 3/4" C/CNMG432	-	980.35022
SA-200-0212	-	BARRA INTERIOR MCLNR4 S16T 1" C/CNMG432	-	1230.25076
SA-200-0220	-	JUEGO DE BARRA INTERIOR 4 PZAS. ZANCO 1/2" C/TCMT21.51	-	2409.78748
SA-200-0230	-	JUEGO DE BARRA INTERIOR 6 PZAS. ZANCO 5/8" C/TCMT21.51 Y TCMT221	-	4100.13426
SA-200-0240	-	JUEGO DE BARRA INTERIOR 8 PZAS. ZANCO 3/4" C/TCMT21.51 Y TCMT221	-	5894.46576
SA-200-0250	-	BARRA INTERIOR MCLNR4 S20T 1-1/4" C/CNMG432	-	1643.42362
SA-200-0260	-	BARRA INTERIOR MCLNR4 S24U 1-1/2" C/CNMG432	-	2307.037
SA-200-0270	-	BARRA INTERIOR MTFNR3 S16T 1" C/TNMG332	-	1320.05274
SA-200-0280	-	BARRA INTERIOR MTFNR3 S20T 1-1/4" C/TNMG332	-	1779.26716
SA-200-0282	-	BARRA INTERIOR MTFNR4 S16T 1" C/TNMG432	-	1298.27722
SA-200-0284	-	BARRA INTERIOR MTFNR4 S20U 1-1/4" C/TNMG432	-	1879.49406
SA-200-0290	-	BARRA INTERIOR MTFNR4 S24U 1-1/2" C/TNMG432	-	2616.72104
SA-200-0300	-	BARRA INTERIOR MTFNR4 S32U 2" C/TNMG432	-	7003.05572
SA-200-0302	-	BARRA INTERIOR MDUNR4 S16T 1" C/DNMG432	-	1299.10372
SA-200-0304	-	BARRA INTERIOR MDUNR4 S20T 1-1/4" C/DNMG432	-	1793.35072
SA-200-0306	-	BARRA INTERIOR MDUNR4 S24U 1-1/2" C/DNMG432	-	2447.96076
SA-200-0310	-	BARRA INTERIOR MWLNR3 S12S 3/4" C/WNMG332	-	1128.19454
SA-200-0320	-	BARRA INTERIOR MWLNR3 S16T 1" C/WNMG432	-	1103.60892
SA-200-0330	-	BARRA INTERIOR MWLNR3 S20U 1-1/4" C/WNMG432	-	1619.32288
SA-200-0332	-	BARRA INTERIOR MWLNR3 S24U 1-1/2" C/WNMG432	-	2085.35868
SA-200-0334	-	BARRA INTERIOR MVUNR3 S16T 1" C/VNMG322	-	1267.32204
SA-200-0336	-	BARRA INTERIOR MVUNR3 S20T 1-1/4" C/VNMG322	-	2041.85172
SA-200-0338	-	BARRA INTERIOR MVUNR3 S24U 1-1/2" C/VNMG322	-	2719.5156
SA-200-0340	-	CORTADOR TP ENTRADA 3/4" PIÃ‘A 2" 90Â° P/TPCN32PDTR	-	1711.54926
SA-200-0350	-	CORTADOR TP ENTRADA 3/4" PIÃ‘A 2-1/2" 90Â° P/TPCN32PDTR	-	2313.8143
SA-200-0360	-	CORTADOR TP ENTRADA 1" PIÃ‘A 3" 90 P/TPCN32PDTR	-	3068.43084
SA-200-0370	-	CORTADOR TP ENTRADA 1-1/2" PIÃ‘A 4" 90Â° P/TPCN43PDTR	-	3540.51662
SA-200-0380	-	CORTADOR SE ENTRADA 3/4" PIÃ‘A 2" 45Â° P/SEKN32AFTN	-	2411.53966
SA-200-0390	-	CORTADOR SE ENTRADA 3/4" PIÃ‘A 2-1/2" 45Â° P/SEKN32AFTN	-	2954.6824
SA-200-0400	-	CORTADOR SE ENTRADA 1" PIÃ‘A 3" 45Â° P/SEKN32AFTN	-	3737.3228
SA-200-0410	-	CORTADOR TP ENTRADA 2" PIÃ‘A 6" 90Â° P/TPCN2204PDTR	-	15026.25488
SA-200-0420	-	CORTADOR TP ENTRADA 2-1/2" PIÃ‘A 8" 90Â° P/TPCN2204PDTR	-	24960.81794
SA-200-0430	-	CORTADOR TP ENTRADA 2-1/2" PIÃ‘A 10" 90Â° P/TPCN2204PDTR	-	28766.0019
SA-200-0440	-	CORTADOR SP ENTRADA  2" PIÃ‘A 6" 75Â° P/SPCN1203EDR	-	14278.49278
SA-200-0450	-	CORTADOR SP ENTRADA  2-1/2" PIÃ‘A 8" 75Â° P/SPCN1203EDR	-	20737.31478
SA-200-0460	-	CORTADOR SP ENTRADA 2-1/2" PIÃ‘A 10"  75Â° P/SPCN1203EDR	-	24895.0065
SA-200-0470	-	CORTADOR SE ENTRADA 1-1/2" PIÃ‘A 4" 45Â° P/SEHT43AFTN	-	4844.16058
SA-200-0480	-	PORTA INSERTO CKJNR16-16D 1" P/KNUX160405R	-	1247.67338
SA-200-0482	-	PORTA INSERTO MCLNR12-4A 3/4" C/CNMG432	-	904.54364
SA-200-0490	-	PORTAINSERTO MCLNL16-4C 1" C/CNMG432	-	985.27616
SA-200-0500	-	PORTA INSERTO MCLNR16-4C 1" C/CNMG432	-	1096.72142
SA-200-0510	-	PORTA INSERTO MVJNR12-3B 3/4" C/VNMG322	-	943.4773
SA-200-0520	-	PORTA INSERTO MVJNL12-3B 3/4" C/VNMG322	-	1067.81596
SA-200-0530	-	PORTA INSERTO MVJNR16-3C 1" C/VNMG322	-	1160.36192
SA-200-0540	-	PORTA INSERTO MVJNL16-3C 1" C/VNMG322	-	1632.74524
SA-200-0552	-	PORTA INSERTO TWLNR16-4D 1" P/WNMG432	-	1128.19454
SA-200-0560	-	PORTA INSERTO MTJNL16-4D 1" C/TNMG432	-	1128.19454
SA-200-0570	-	PORTA INSERTO MTENN16-4D 1" C/TNMG432	-	1119.9075
SA-200-0580	-	PORTA INSERTO MTJNR16-4D 1" C/TNMG432	-	1070.43872
SA-200-0591	-	PORTA INSERTO TWLNL16-4D 1" P/WNMG432	-	1188.30864
SA-200-0592	-	PORTA INSERTO MDJNR16-4D 1" C/DNMG432	-	1094.2309
SA-200-0600	-	PORTAINSERTO P/ROSCADO EXT. SER 625 H16 5/8" P/16ERAG60	-	833.31036
SA-200-0610	-	PORTA INSERTO P/ROSCADO EXT. SER 750 K16 3/4" P/16ERAG60	-	998.84178
SA-200-0620	-	PORTA INSERTO P/ROSCADO EXT. SER 1000 M16 1" P/16ERAG60	-	1171.71252
SA-200-0630	-	BARRA P/ROSCADO INT. SIR 500 M16 1/2" P/16IRAG60	-	929.8676
SA-200-0640	-	BARRA P/ROSCADO INT. SIR 625 P16 5/8" P/16IRAG60	-	1101.86776
SA-200-0650	-	BARRA P/ROSCADO INT. SIR 1000 R16 1" P/16IRAG60	-	1281.72518
SA-200-0660	-	PORTA INSERTO MCLNR16-6D 1" C/CNMG643	-	1401.34728
SA-200-0670	-	PORTA INSERTO MCLNL16-6D-W 1" C/CNMG643	-	1313.73828
SA-200-0680	-	PORTAINSERTO MTVOR16-4D 1" P/TNMA43NV	-	1490.7305
SA-200-0690	-	JGO.BARRA BORING P/BURIL 5 PZS (3/8 A 1)	-	3430.45988
SA-200-0700	-	JUEGO DE CORTADORES TP 3 PZAS. ZANCO WELDON 1/2" PIÃ‘A 1/2" A 5/8" P/TPC22	-	1481.06596
SA-200-0710	-	JUEGO DE CORTADORES 3 PZAS. ZANCO WELDON 3/4" P/TNGQ322; SNHQ322 Y RNHQ32	-	2319.0488
SA-200-0720	-	BLOCK P/LAMA ALTURA 3/4"	-	852.47414
SA-200-0730	-	BLOCK P/LAMA ALTURA 1"	-	913.19434
SA-200-0740	-	BLOCK P/LAMA ALTURA 1 1/4"	-	973.07702
SA-200-0745	-	BLOCK 75YD16-2	-	272.3593
SA-200-0750	-	LAMA P/TRONZADO NCIH26-3 1" P/GTN-3 (SIN INSERTO)	-	532.07866
SA-200-0755	-	CANDADO P/BLOCK 90DG-6/16	-	893.96444
SA-200-0756	-	CANDADO P/BLOCK DG-7/12	-	459.28054
SA-200-0757	-	GRAPA P/INSERTO DG-5/12	-	355.395
SA-200-0758	-	LLAVE KCM-7	-	148.9904
SA-200-0759	-	LLAVE JDE-6	-	136.69208
SA-200-0760	-	LAMA P/TRONZADO NCIH26-4 1" P/GTN-4 (SIN INSERTO)	-	566.30678
SA-200-0770	-	PORTAINSERTO P/TRONZADO QA2525R03 1" C/GTN-3	-	1238.91248
SA-200-0780	-	PORTAINSERTO P/TRONZADO QA2525R04 1" C/GTN-4	-	1105.49334
SA-200-0790	-	LAMA P/TRONZADO NCIH32-3 1-1/4" P/GTN-3 (SIN INSERTO)	-	571.92698
SA-200-0800	-	LAMA P/TRONZADO NCIH32-4 1-1/4" P/GTN-4 (SIN INSERTO)	-	573.00694
SA-200-0810	-	KIT TRONZADO DE 3/4"	-	4149.38264
SA-200-0820	-	KIT TRONZADO DE 1"	-	4592.51888
SA-250-0010	-	GATO MECANICO P/EQUILIBRAR	-	176.69468
SA-250-0020	-	PERILLAS 1/4"-20	-	72.53364
SA-250-0030	-	PERILLAS 3/8"-16	-	84.1377
SA-250-0040	-	PERILLAS ESTRELLA 1/4"-20	-	69.10642
SA-250-0050	-	PERILLAS DE ESTRELLA 5/16"-18	-	64.53312
SA-250-0060	-	PERILLAS ESTRELLA 3/8"-12	-	113.88068
SA-250-0070	-	PERILLAS DE ESTRELLA 1/2"-13	-	183.35076
SA-275-0010	-	COPA DIAMANTE 11V9 3-3/4"X1-1/2" D150 C100B	-	3427.08776
SA-275-0020	-	COPA DIAMANTE 11V9 3-3/4"X1-1/2" CBN150 C100B	-	5325.65744
SA-275-0030	-	RUEDA DIAMANTE 1A1 4"X1/4" D150 C100B	-	2492.42646
SA-275-0040	-	RUEDA DIAMANTE 1A1 4"X1/4" CBN150 C100B	-	3119.73996
SA-275-0050	-	COPA DIAMANTE 11V9 5"X1-3/4" D150 C100B	-	4104.92796
SA-275-0060	-	COPA DIAMANTE 11V9Â  5"X1-3/4" CBN150 C100B	-	6546.8167
SA-275-0070	-	RUEDA DIAMANTE 1A1R 6" X .035 D100 C100B	-	1635.65452
SA-275-0080	-	RUEDA DIAMANTE 1A1R 6" X .035 CBN100 C100B	-	2025.10132
SA-275-0090	-	RUEDA DIAMANTE 1A1 6"X1/4" D150 C100B	-	2803.9839
SA-275-0100	-	RUEDA DIAMANTE 1A1 6"X1/4" CBN150 C100B	-	3776.53196
SA-275-0110	-	RUEDA DIAMANTE 6A2C COPA RECTA 6"X1-1/4"Â  D150 C100B	-	4829.0742
SA-275-0120	-	RUEDA DIAMANTE 6A2C COPA RECTA Â 6"X1-1/4" CBN150 C100B	-	5062.74228
SA-280-0010	-	CUCHILLA SET UNIVERSAL C/B10 (MANGO; CUCHILLA Y HOLDER)	-	211.11014
SA-280-0020	-	JUEGO DE CUCHILLAS UNIVERSAL 9 PZAS	-	1030.96508
SA-280-0030	-	JUEGO DE CUCHILLAS UNIVERSAL 9 PZAS	-	1556.44276
SA-280-0040	-	CUCHILLA SET UNIVERSAL EXTRA	-	2063.20848
SA-280-0050	-	JUEGO DE CUCHILLAS UNIVERSAL EXTRA 18 PZAS	-	1514.12596
SA-280-0060	-	CUCHILLA 10B P/ACERO Y ALUMINIO JGO.10 PZS	-	259.6312
SA-280-0070	-	CUCHILLA 20B P/BRONCE Y HIE.FUNDIDO JGO.10 PZS	-	259.6312
SA-280-0080	-	CUCHILLA 30B P/MED. INT.Y EXT. JGO.10 PZS	-	259.6312
SA-280-0090	-	CUCHILLA E100 P/ACERO Y ALUMINIO JGO.10 PZS	-	259.6312
SA-280-0100	-	CUCHILLA E200 P/BRONCE Y HIE.FUNDIDO JGO.10 PZS	-	259.6312
SA-290-0010	-	PUNTAS DIAMANTE JGO.10 PCS. 1/8	-	58.06438
SA-290-0020	-	PUNTAS DE DIAMANTE JGO. 20 PZAS. 1/8	-	71.47572
SA-290-0030	-	PUNTAS DE DIAMANTE JGO. 10 PZAS. 1/4	-	259.42182
SA-290-0040	-	LIMAS DIAMANTADAS RECTAS 5-1/2" JGO.5 PZ	-	110.43142
SA-290-0050	-	LIMAS DIAMANTADAS RECTAS 5-1/2" JGO.10PZ	-	186.63472
SA-290-0060	-	LIMAS DIAMANTADAS CURVAS 5-1/2" JGO.10PZ	-	234.1199
SA-290-0070	-	LIMAS DIAMANTADAS RECTAS 7" JGO. 5 PZS	-	209.8208
SA-290-0080	-	LIMA DIAMANTADA RECTAS 7" JGO. 10 PZS	-	322.46724
SA-290-0090	-	RECTIFICADOR DE DIAMANTE 3/8X3 1/4 QUILATE	-	266.00076
SA-290-0100	-	RECTIFICADOR DE DIAMANTE 3/8X3 1/2 QUILATE	-	367.96882
SA-290-0110	-	RECTIFICADOR DE DIAMANTE 3/8X3 1 QUILATE	-	573.01796
SA-290-0120	-	RECTIFICADOR DE DIAMANTE 1/2" X 8" 1 QUI	-	614.02338
SA-290-0130	-	TORNILLO P/PORTA INSERTO 16ER	-	45.9534
SA-290-0140	-	TORNILLO P/ASIENTO SDN535	-	75.12334
SA-290-0150	-	ASIENTO LT16R-3.0 P/PORTA INSERTO 16ER DERECHO	-	87.10208
SA-290-0160	-	ASIENTO LT16L-3.0 P/PORTA INSERTO 16IR 	-	0
IZQUIERDO	-	99.79	-	#VALOR!
SA-290-0170	-	TORNILLO MLD-M60 P/PORTA INSERTO CCMT160612	-	96.62336
SA-290-0175	-	TORNILLO P/INSERTO M2.5X7	-	43.67226
SA-290-0177	-	TORNILLO P/INSERTO M4.5X12	-	44.05796
SA-290-0180	-	TORNILLO P/INSERTO M5X11	-	48.30066
SA-290-0185	-	TORNILLO P/GRAPA M6X20 (GB70-85)	-	106.70666
SA-290-0195	-	TORNILLO P/ASIENTO LYM0308	-	67.1118
SA-290-0202	-	CLAMP TP-2 P/PORTA INSERTO DWLNR	-	245.72396
SA-290-0205	-	TORNILLO P/GRAPA CTFP-M5	-	105.58262
SA-290-0210	-	CLAMP CL-20 P/PORTA INSERTO CNMG432	-	166.03834
SA-290-0215	-	TORNILLO P/GRAPA LE-06	-	105.58262
SA-290-0217	-	TORNILLO P/GRAPA MS0523	-	118.8507
SA-290-0220	-	CLAMP CL-12 P/PORTA INSERTO MCLNR/ MTJNR	-	186.88818
SA-290-0225	-	TORNILLO P/ASIENTO M3X8 (1761)	-	66.41754
SA-290-0230	-	CLAMP CL-30 P/PORTA INSERTO MDJNR	-	135.11622
SA-290-0240	-	CLAMP CL-6 P/PORTA INSERTO MT1603	-	105.60466
SA-290-0245	-	CLAMP DG-3	-	271.1471
SA-290-0246	-	CLAMP 75YD16-3	-	303.68916
SA-290-0247	-	CLAMP DG-4	-	248.78752
SA-290-0250	-	TORNILLO DIFERENCIAL P/CLAMP CL-12 / CL-30	-	113.85864
SA-290-0255	-	TORNILLO P/INSERTO M3.5X8	-	42.46006
SA-290-0275	-	TORNILLO P/GRAPA MTH0623	-	105.58262
SA-290-0280	-	TORNILLO TIPO CLAMP M6 P/PORTA INSERTO TPKN/TPCN	-	52.70866
SA-290-0295	-	TORNILLO P/INSERTO M5X8	-	92.86554
SA-290-0305	-	TORNILLO P/INSERTO M4X8	-	42.46006
SA-290-0315	-	TORNILLO 2.5X5	-	46.25094
SA-290-0320	-	TORNILLO P/PORTAINSERTO DWLN M6X10	-	90.02238
SA-290-0325	-	TORNILLO SM612.14	-	145.88276
SA-290-0335	-	GRAPA P/PORTAHERRAMIENTA CKJ-4R	-	323.55822
SA-290-0340	-	ASIENTO C1203B PARA PORTA INSERTO CNMG432	-	99.6208
SA-290-0345	-	GRAPA P/PORTAHERRAMIENTA CTFPN-5	-	223.66192
SA-290-0350	-	ASIENTO C0903B PARA PORTA INSERTO CNMG431	-	108.4368
SA-290-0355	-	GRAPA P/PORTAHERRAMIENTA MTH0820	-	179.60396
SA-290-0360	-	ASIENTO D1504B PARA PORTA INSERTO MDJNR	-	93.75816
SA-290-0362	-	ASIENTO D1503B PARA PORTA INSERTO MDJNR	-	92.59004
SA-290-0365	-	TORNILLO SM815.18	-	145.44196
SA-290-0370	-	ASIENTO W0803B PARA PORTA INSERTO DWLNR	-	81.97778
SA-290-0375	-	TORNILLO SM1018.22	-	144.7477
SA-290-0380	-	SEGURO TIPO PERNO (LOCK PIN) NL-0617 PARA MDJNR / MCLNR	-	98.43064
SA-290-0385	-	TORNILLO SM815.18L	-	144.7477
SA-290-0395	-	TORNILLO P/INSERTO M5X5	-	91.49906
SA-290-0405	-	SEGURO TIPO PERNO (LOCK PIN) NL-6011 P/BARRA MWLNR/L	-	131.2482
SA-290-0410	-	ASIENTO T1603B P/PORTA INSERTO TNMG332	-	100.65668
SA-290-0420	-	ASIENTO T2203B P/PORTA INSERTO MTJNR	-	124.526
SA-290-0425	-	PERNO P/PORTAHERRAMIENTA NL-0823	-	125.71616
SA-290-0430	-	ASIENTO P/VNMG	-	88.9314
SA-290-0435	-	ASIENTO P/PORTAHERRAMIENTA C1904B	-	206.86744
SA-290-0440	-	TORNILLO M4X10 P/PORTA INSERTO CCMT09T3 /CCMT09T0308	-	42.46006
SA-290-0445	-	ASIENTO P/PORTAHERRAMIENTA CKJ-7R	-	199.25262
SA-290-0450	-	TORNILLO M2.5X6 P/PORTA INSERTO CCMT060204	-	42.46006
SA-290-0455	-	PERNO P/PORTAHERRAMIENTA NL-0410	-	76.21432
SA-290-0460	-	TORNILLO DIFERENCIAL P/CLAMP CL-6	-	69.67946
SA-290-0465	-	ASIENTO P/PORTAHERRAMIENTA SP12D	-	105.15284
SA-290-0470	-	TORNILLO DIFERENCIAL P/CLAMP CL-20	-	80.19254
SA-290-0475	-	PERNO P/PORTAHERRAMIENTA NL-0414	-	87.7192
SA-290-0485	-	PIN P/PORTAHERRAMIENTA CKJ-5	-	106.37606
SA-290-0495	-	RESORTE DE PIN CKJ-2	-	48.80758
SA-290-0500	-	TORNILLO TIPO CLAMP M6X0.75" P/PIÃ‘A PORTA INSERTO	-	104.27124
SA-290-0505	-	RESORTE P/GRAPA CKJ-6	-	48.80758
SA-290-0510	-	LLAVE HEXAGONAL PARA PORTAS T6	-	35.24196
SA-290-0515	-	RESORTE P/GRAPA MTH0610	-	32.3437
SA-290-0520	-	LLAVE HEXAGONAL PARA PORTAS T8	-	35.24196
SA-290-0530	-	LLAVE HEX P/PORTAS T9	-	43.87062
SA-290-0540	-	LLAVE HEX P/PORTAS T10	-	43.87062
SA-290-0550	-	LLAVE HEXAGONAL PARA PORTAS T15	-	35.52848
SA-290-0560	-	LLAVE HEXAGONAL PARA PORTAS T20	-	54.6592
SA-290-0570	-	LLAVE HEXAGONAL PARA PORTAS T25	-	68.61052
SA-290-0580	-	CORTADOR TP ZANCO WELDON 3/4? PIÃ‘A 1" 90Â° P/TPCN22PDTR	-	943.21282
SA-290-0590	-	CORTADOR TP ZANCO WELDON 3/4? PIÃ‘A 1-1/4" 90Â° P/TPCN32PDTR	-	1208.37606
SA-290-0600	-	CORTADOR TP ZANCO WELDON 3/4? PIÃ‘A 1-1/2" 90Â° P/TPCN32PDTR	-	1276.70006
SA-290-0610	-	CORTADOR TP ZANCO WELDON 3/4? PIÃ‘A 1-3/4"90Â° P/TPCN32PDTR	-	1391.18684
SA-290-0620	-	CORTADOR TP ZANCO WELDON 3/4? PIÃ‘A 2" 90Â° P/TPCN32PDTR	-	1740.1131
SA-290-0630	-	CORTADOR TP ZANCO R8 PIÃ‘A 1-1/2" 90Â° P/TPCN32PDTR	-	1486.90656
SA-290-0640	-	CORTADOR TP ZANCO R8 PIÃ‘A 2" 90Â° P/TPCN32PDTR	-	2100.05936
SA-290-0650	-	CORTADOR TP ZANCO R8 PIÃ‘A 2-1/2" 90Â° P/TPCN32PDTR	-	2409.78748
SA-290-0660	-	CORTADOR TP ZANCO R8 PIÃ‘A 3" 90Â° P/TPCN32PDTR	-	3386.09336
SA-290-0670	-	CORTADOR AP ENTRADA 3/4" PIÃ‘A 2" 90Â° P/APKT160408-PM	-	2351.91044
SA-290-0680	-	CORTADOR AP ENTRADA 1" PIÃ‘A 3" 90Â° P/APKT160408-PM	-	3529.03378
SA-290-0690	-	CORTADOR AP ENTRADA 1-1/2" PIÃ‘A 4" 90Â° P/APKT160408-PM	-	4458.37242
SA-290-0700	-	CORTADOR AP ZANCO WELDON 1/2? PIÃ‘A 3/8" 90Â° P/APKT11T308-PM	-	762.94766
SA-290-0710	-	CORTADOR AP ZANCO WELDON 5/8? PIÃ‘A 1/2" 90Â° P/APKT11T308-PM	-	812.97846
SA-290-0720	-	CORTADOR AP ZANCO WELDON 5/8? PIÃ‘A 5/8" 90Â° P/APKT11T308-PM	-	941.22922
SA-290-0730	-	CORTADOR AP ZANCO WELDON 3/4? PIÃ‘A 3/4" 90Â° P/APKT11T308-PM	-	1246.64852
SA-290-0740	-	CORTADOR AP ZANCO WELDON 1? PIÃ‘A 1" 90Â° P/APKT11T308-PM	-	1355.39388
SA-290-0750	-	CORTADOR AP ZANCO WELDON 1? PIÃ‘A 1-1/4" 90Â° P/APKT160408-PM	-	1597.74572
SA-290-0760	-	CORTADOR AP ZANCO WELDON 1? PIÃ‘A 1-1/2" 90Â° P/APKT160408-PM	-	1924.59892
SA-305-0000	-	NIVEL DE HILO 3"	-	35.41828
SA-305-0010	-	BLOQUES V CON ABRAZADERAS (CLAMP) VBC-243	-	1883.71472
SA-305-0020	-	ARBOL PARA SIERRA CIRCULAR ZANCO 1/2" (P/AGUJERO 1/2;"5/8";3/4";7/8";1")	-	437.50502
SA-305-0030	-	ARBOL PARA SIERRA CIRCULAR ZANCO R8 (P/AGUJERO 1/2;"5/8";3/4";7/8";1")	-	793.0543
SA-305-0040	-	CHAROLA PARA BOQUILLAS R8 11 PZS.	-	879.53926
SA-305-0050	-	CHAROLA PARA BOQUILLAS R8 15 PZS.	-	604.68944
SA-305-0060	-	JGO. ARBOL P/SIERRA 3 PZS. 1/2;5/8;3/4	-	558.81318
SA-305-0070	-	CHUCK/ PLATO MAGNETICO RECTANGULAR 12" X 6"	-	12174.9511
SA-305-0080	-	CHUCK/ PLATO MAGNETICO RECTANGULAR 18" X 6"	-	16851.46442
SA-305-0090	-	CHUCK / PLATO MAGNETICO REDONDO 10"	-	33873.1107
SA-305-0100	-	CARRITO PORTA HERRAMIENTAS CONO 40 BT	-	19323.76836
SA-305-0110	-	CARRITO PORTA HERRAMIENTAS CONO 50 BT HUOT	-	19323.76836
SA-305-0140	-	NIVEL DE PRECISIÃ“N 8"	-	2873.78458
SA-305-0150	-	JGO DE LIMA PARA JOYERO 10PZ	-	170.07166
SA-305-0160	-	JGO DE LIMA PARA JOYERO 12PZ	-	204.29978
SA-305-0170	-	PLUMA MAGNETICA CAPACIDAD 2.2 KG	-	161.74054
SA-305-0180	-	PLUMA MAGNETICA SENCILLA CAPACIDAD 450 G	-	142.709
SA-305-0190	-	BROQUERO P/JOYERO (JGO 4 PZAS)	-	322.37908
SA-305-0200	-	CINTA MAGNETICA 25MM X 3M	-	149.8169
SA-305-0210	-	CINTA MAGNETICA 50MM X 3M	-	207.8372
SA-305-0220	-	RECOGEDOR DE HERRAMIENTAS MAGNETICO	-	263.1576
SA-305-0230	-	RECOGEDOR TELESCÃ“PICO DE HERRAMIENTAS MAGNETICO CAPACIDAD 22 KG	-	321.31014
SA-305-0240	-	BARREDORA MAGNETICA CON LIBERACION RAPIDA	-	2070.83432
SA-305-0250	-	ESPEJO TELESCOPICO DE INSPECCION	-	131.04984
SA-305-0260	-	IMAN FLEXIBLE C/GARRAS	-	161.5562856
SA-305-0270	-	IMAN FLEXIBLE C/GARRAS Y LUZ LED	-	350.08336
SA-305-0280	-	IMAN EXTENSIBLE CAPACIDAD 2.2 KG	-	119.28048
SA-305-0290	-	IMAN EXTENSIBLE C/LUZ LED CAPACIDAD 2.2 KG	-	92.1272
SA-305-0300	-	LINTERNA MAGNETICA FLEXIBLE LED	-	238.95768
SA-305-0310	-	LÃMPARA D/TALLER RECARGABLE LED 220LM	-	452.06244
SA-305-0313	-	LÃMPARA D/TALLER RECARGABLE LED 218LM	-	277.21912
SA-305-0316	-	LÃMPARA D/TALLER RECARGABLE LED 280LM	-	506.00534
SA-305-0319	-	LÃMPARA DE TRABAJO LED CON BASE PLEGABLE RECARGABLE 210LM	-	344.73866
SA-305-0321	-	LINTERNA LED RECARGABLE USB; FUNCIÃ“N UV LONGITUD DE ONDA 365-370NM	-	671.47064
SA-305-0350	-	SUJETADOR DE PORTA HERRAMIENTAS CNC #40	-	4552.37302
SA-305-0360	-	SUJETADOR DE PORTA HERRAMIENTAS CNC #50	-	7839.4076
SA-305-1000	-	NIVEL MAGNÃ‰TICO PARA POSTES Y TUBERÃAS CUERPO ABS	-	110.17796
SA-305-2000	-	NIVEL TORPEDO MAGNÃ‰TICO DE ALUMINIO 10"	-	188.76158
SA-305-3018	-	NIVEL DE ALUMINIO 18"	-	293.66096
SA-305-3024	-	NIVEL DE ALUMINIO 24"	-	345.5321
SA-305-3036	-	NIVEL DE ALUMINIO 36"	-	449.26336
SA-305-4018	-	NIVEL PROFESIONAL MAGNÃ‰TICO DE ALUMINIO 18"	-	500.8039
SA-305-4024	-	NIVEL PROFESIONAL MAGNÃ‰TICO DE ALUMINIO 24"	-	624.08464
SA-305-4036	-	NIVEL PROFESIONAL MAGNÃ‰TICO DE ALUMINIO 36"	-	793.58326
SA-305-4048	-	NIVEL PROFESIONAL MAGNÃ‰TICO DE ALUMINIO 48"	-	1017.02478
SA-305-5000	-	TIRALÃNEAS CON GIS ROJO CUERPO ABS	-	160.0104
SA-305-5005	-	TIRALÃNEAS CUERPO ABS	-	141.8274
SA-305-5015	-	GIS ROJO PARA TIRALÃNEAS 120g (4oz)	-	37.84268
SA-305-5020	-	GIS AZUL PARA TIRALÃNEAS 120g (4oz)	-	39.35242
SA-305-6008	-	PLOMADA DE LATÃ“N 8oz	-	370.72382
SA-305-6012	-	PLOMADA DE LATÃ“N 12oz	-	491.39282
SA-305-6016	-	PLOMADA DE LATÃ“N 16oz	-	665.9386
SA-305-6100	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 BLANCO CHICO 65M	-	17.53282
SA-305-6105	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 AMARILLO CHICO 65M	-	18.27116
SA-305-6110	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 VERDE CHICO 65M	-	18.27116
SA-305-6115	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 AZUL CHICO 65M	-	18.27116
SA-305-6120	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 ROJO CHICO 65M	-	18.27116
SA-305-6125	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 NARANJA CHICO 65M	-	18.27116
SA-305-6130	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 BLANCO MED 100M	-	20.8829
SA-305-6135	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 AMARILLO MED 100M	-	22.00694
SA-305-6140	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 VERDE MED 100M	-	22.00694
SA-305-6145	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 AZUL MED 100M	-	22.00694
SA-305-6150	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 ROJO MED 100M	-	22.00694
SA-305-6155	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 NARANJA MED 100M	-	22.00694
SA-305-6160	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 BLANCO GDE 165M	-	33.9416
SA-305-6165	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 AMARILLO GDE 165M	-	35.80398
SA-305-6170	-	HILO PARA ALBAÃ‘IL DE POLIPROPILENO CAL. 18 VERDE GDE 165M	-	35.80398
