ItemCode	-	ItemName	-	TOTAL
A-10815	-	BALERO 6000-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	11.2404
A-10820	-	BALERO 6001-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	14.3811
A-10830	-	BALERO 6001-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	14.4913
A-10840	-	BALERO 6002-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	14.17172
A-10850	-	BALERO 6002-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	14.17172
A-10860	-	BALERO 6003-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	24.98234
A-10870	-	BALERO 6003-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	19.38418
A-10880	-	BALERO 6004-ZZ	-	22.56896
A-10890	-	BALERO 6004-2RS	-	124.55906
A-10895	-	BALERO 6004-2RS (TUBO)	-	21.79756
A-10900	-	BALERO 6005-ZZ	-	25.9521
A-10910	-	BALERO 6005-2RS	-	29.05974
A-10915	-	BALERO 6005-2RS (TUBO)	-	26.37086
A-10920	-	BALERO 6006-ZZ	-	44.10204
A-10930	-	BALERO 6006-2RS	-	44.10204
A-10940	-	BALERO 6007-2RS	-	43.42982
A-10945	-	BALERO 6007-ZZ	-	56.05874
A-10950	-	BALERO 6008-ZZ	-	64.42292
A-10960	-	BALERO 6008-2RS	-	50.40548
A-10970	-	BALERO 6009-ZZ	-	70.3627
A-10990	-	BALERO 6010-ZZ	-	76.22534
A-11000	-	BALERO 6010-2RS	-	75.68536
A-11001	-	BALERO 6011-2RS	-	103.63208
A-11003	-	BALERO 6012-2RS	-	143.60162
A-11004	-	BALERO 6012-ZZ	-	143.60162
A-11005	-	BALERO 6013-ZZ	-	128.73564
A-11010	-	BALERO 6014-2RS	-	161.14546
A-11020	-	BALERO 6200-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	14.06152
A-11030	-	BALERO 6200-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	14.06152
A-11040	-	BALERO 62000-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	31.8478
A-11045	-	BALERO 63001-2RS	-	41.00542
A-11050	-	BALERO 6201-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	19.26296
A-11060	-	BALERO 6201-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	18.98746
A-11070	-	BALERO 6201-2RS (13MM) (PRECIO X PZA - TUBO C/10PZAS)	-	28.652
A-11080	-	BALERO 6201-2RS 1/2" (PRECIO X PZA - TUBO C/10PZAS)	-	20.938
A-11090	-	BALERO 6202-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	15.52718
A-11100	-	BALERO 6202-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	19.74784
A-11120	-	BALERO 6202-ZZ 5/8" (PRECIO X PZA - TUBO C/10PZAS)	-	26.1174
A-11140	-	BALERO 6202-2RS TUBO (PRECIO X PZA - TUBO C/10PZAS)	-	14.25988
A-11150	-	BALERO 6202-2RS 1/2" (PRECIO X PZA - TUBO C/10PZAS)	-	30.22786
A-11155	-	BALERO 6202-2RS 5/8 (PRECIO X PZA - TUBO C/10PZAS)	-	31.6825
A-11157	-	BALERO 6202-2RS 16MM (PRECIO X PZA - TUBO C/10PZAS)	-	22.87752
A-11158	-	BALERO 6203-ZZ 12MM (CAJA)	-	38.2394
A-11160	-	BALERO 6203-ZZ TUBO	-	19.49438
A-11161	-	BALERO 6203-2RS 12MM	-	37.91982
A-11170	-	BALERO 6203-2RS	-	18.10586
A-11180	-	BALERO 6203-2RS 5/8	-	32.8396
A-11185	-	BALERO 6203-2RS 5/8 (TUBO)	-	32.8396
A-11190	-	BALERO 6203-2RS 1/2"	-	35.62766
A-11195	-	BALERO 6203-2RS 3/4"	-	30.55846
A-11200	-	BALERO 6204-ZZ	-	27.75938
A-11205	-	BALERO 6204-ZZ TUBO	-	26.52514
A-11210	-	BALERO 6204-2RS	-	35.84806
A-11220	-	BALERO 6204-2RS 3/4 BORE	-	41.1046
A-11225	-	BALERO 6205-ZZ TUBO	-	33.3906
A-11230	-	BALERO 6205-ZZ	-	33.34652
A-11235	-	BALERO 6205-2RS (TUBO)	-	31.7927
A-11240	-	BALERO 6205-2RS	-	33.34652
A-11245	-	BALERO 6205-2RS NR CON RETEN	-	48.36678
A-11250	-	BALERO 6205-2RS 1" BORE	-	42.8127
A-11251	-	BALERO 6205 2RS LB P/LAVADORA	-	151.73438
A-11251-C	-	BALERO 6205 2RS LB P/LAVADORA CON CUÃ‘A	-	235.78392
A-11255	-	BALERO 6206-ZZ TUBO	-	47.73864
A-11260	-	BALERO 6206-ZZ	-	48.08026
A-11270	-	BALERO 6206-2RS	-	59.55208
A-11275	-	BALERO 6206-2RS (TUBO)	-	51.01158
A-11280	-	BALERO 6207-ZZ	-	71.44266
A-11290	-	BALERO 6207-2RS	-	67.70688
A-11295	-	BALERO 6207-2RS (TUBO)	-	34.29424
A-11330	-	BALERO 6208-ZZ	-	78.33016
A-11340	-	BALERO 6208-2RS	-	79.21176
A-11350	-	BALERO 6209-ZZ	-	96.7556
A-11360	-	BALERO 6209-2RS	-	93.8353
A-11370	-	BALERO 6209-ZNR	-	149.12264
A-11380	-	BALERO 6210-ZZ	-	103.9186
A-11390	-	BALERO 6210-2RS	-	126.09084
A-11400	-	BALERO 6211-ZZ	-	132.91222
A-11410	-	BALERO 6211-2RS	-	125.7933
A-11415	-	BALERO 6212-2RS	-	161.14546
A-11420	-	BALERO 6212-ZZ	-	166.7326
A-11422	-	BALERO 6212 C3	-	150.0373
A-11430	-	BALERO 6213	-	216.74136
A-11460	-	BALERO 6214 2RS C3	-	221.01712
A-11470	-	BALERO 6215 2RS C3	-	234.97946
A-11480	-	BALERO 6216 2RS C3	-	298.85138
A-11485	-	BALERO 6217-2RS	-	529.68732
A-11490	-	BALERO 6217 2RS C3	-	351.98982
A-11530	-	BALERO 6300-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	17.89648
A-11540	-	BALERO 6300-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	18.42544
A-11550	-	BALERO 6301-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	18.7891
A-11560	-	BALERO 6301-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	19.38418
A-11570	-	BALERO 6302-ZZ	-	31.6825
A-11580	-	BALERO 6302-2RS	-	31.6825
A-11590	-	BALERO 6303-ZZ	-	38.7353
A-11600	-	BALERO 6303-2RS	-	38.98876
A-11620	-	BALERO 6304-ZZ	-	48.09128
A-11630	-	BALERO 6304-2RS	-	48.09128
A-11670	-	BALERO 6305-ZZ	-	64.47802
A-11680	-	BALERO 6305-2RS	-	64.05926
A-11695	-	BALERO 6305-2RS (TUBO)	-	66.69304
A-11700	-	BALERO 6306-ZZ	-	108.77842
A-11710	-	BALERO 6306-2RS	-	85.5703
A-11730	-	BALERO 6307-ZZ	-	100.82198
